"subject","absVD","OV","trial","choice","rt","leftval","rightval","VD","fixDurLeft","fixDurRight","fixDurTotal","EL","ER","x1","x2"
2,2,16,31,1,1051,9,7,2,36,604,640,0.05625,0.94375,-6.1,8.1
2,2,16,32,1,542,9,7,2,131,0,131,1,0,9,-7
2,2,16,33,0,727,7,9,-2,0,316,316,0,1,-9,7
2,2,16,34,0,5464,7,9,-2,2935,2118,5053,0.580843063526618,0.419156936473382,0.293489016425886,-2.29348901642589
2,2,16,35,0,637,9,7,2,0,226,226,0,1,-7,9
2,2,16,36,0,3092,7,9,-2,1896,785,2681,0.707198806415517,0.292801193584483,2.31518090264827,-4.31518090264827
2,2,16,37,0,1961,7,9,-2,721,829,1550,0.465161290322581,0.534838709677419,-1.55741935483871,-0.442580645161291
2,2,16,38,0,1007,7,9,-2,340,256,596,0.570469798657718,0.429530201342282,0.12751677852349,-2.12751677852349
2,2,16,39,1,2311,7,9,-2,864,1036,1900,0.454736842105263,0.545263157894737,-1.72421052631579,-0.27578947368421
2,2,16,40,0,3683,7,9,-2,1845,1427,3272,0.563875305623472,0.436124694376528,0.0220048899755501,-2.02200488997555
2,2,16,41,0,547,9,7,2,0,136,136,0,1,-7,9
2,2,16,42,0,1090,7,9,-2,301,378,679,0.443298969072165,0.556701030927835,-1.90721649484536,-0.0927835051546388
2,2,16,43,1,974,9,7,2,267,296,563,0.474245115452931,0.525754884547069,0.587921847246892,1.41207815275311
2,2,16,44,1,2791,9,7,2,1213,1167,2380,0.509663865546218,0.490336134453781,1.1546218487395,0.845378151260504
2,2,16,45,1,2517,9,7,2,881,1225,2106,0.418328584995252,0.581671415004748,-0.306742640075973,2.30674264007597
2,2,16,46,0,1358,7,9,-2,638,309,947,0.673706441393875,0.326293558606125,1.77930306230201,-3.77930306230201
2,2,16,47,0,795,7,9,-2,23,361,384,0.0598958333333333,0.940104166666667,-8.04166666666667,6.04166666666667
2,2,16,48,1,1055,7,9,-2,644,0,644,1,0,7,-9
2,2,16,49,1,2608,9,7,2,1208,989,2197,0.549840691852526,0.450159308147474,1.79745106964042,0.202548930359582
2,2,16,50,1,663,9,7,2,252,0,252,1,0,9,-7
2,2,16,51,0,1781,7,9,-2,336,1034,1370,0.245255474452555,0.754744525547445,-5.07591240875912,3.07591240875912
2,2,16,52,1,731,9,7,2,320,0,320,1,0,9,-7
2,2,16,53,1,1051,7,9,-2,314,326,640,0.490625,0.509375,-1.15,-0.849999999999999
2,2,16,54,0,2215,7,9,-2,1153,651,1804,0.639135254988914,0.360864745011086,1.22616407982262,-3.22616407982262
2,2,16,55,1,983,9,7,2,320,252,572,0.559440559440559,0.440559440559441,1.95104895104895,0.0489510489510487
2,2,16,56,1,657,9,7,2,246,0,246,1,0,9,-7
2,2,16,57,0,706,7,9,-2,0,295,295,0,1,-9,7
2,2,16,58,1,2839,9,7,2,991,1437,2428,0.408154859967051,0.591845140032949,-0.469522240527183,2.46952224052718
2,2,16,59,0,922,9,7,2,0,511,511,0,1,-7,9
2,2,16,60,1,631,7,9,-2,220,0,220,1,0,7,-9
2,2,16,61,0,722,7,9,-2,0,311,311,0,1,-9,7
2,2,16,62,1,821,7,9,-2,410,0,410,1,0,7,-9
2,2,16,63,0,3704,9,7,2,1526,1767,3293,0.463407227452171,0.536592772547829,0.41451563923474,1.58548436076526
2,2,16,64,1,809,9,7,2,398,0,398,1,0,9,-7
2,2,16,65,0,936,7,9,-2,0,525,525,0,1,-9,7
2,2,16,66,1,877,7,9,-2,466,0,466,1,0,7,-9
2,2,16,67,1,1309,9,7,2,359,539,898,0.39977728285078,0.60022271714922,-0.603563474387528,2.60356347438753
2,2,16,68,0,2518,7,9,-2,878,1229,2107,0.416706217370669,0.583293782629331,-2.33270052206929,0.332700522069294
2,2,16,69,0,1504,7,9,-2,533,560,1093,0.487648673376029,0.512351326623971,-1.19762122598353,-0.802378774016468
2,2,16,70,0,2324,7,9,-2,986,927,1913,0.515420805018296,0.484579194981704,-0.753267119707266,-1.24673288029273
2,2,16,71,1,1269,9,7,2,215,643,858,0.250582750582751,0.749417249417249,-2.99067599067599,4.99067599067599
2,2,16,72,0,1317,7,9,-2,500,406,906,0.551876379690949,0.448123620309051,-0.169977924944812,-1.83002207505519
2,2,16,73,0,2030,7,9,-2,798,821,1619,0.49289684990735,0.50710315009265,-1.1136504014824,-0.886349598517603
2,2,16,74,0,2138,7,9,-2,797,930,1727,0.461493920092646,0.538506079907354,-1.61609727851766,-0.38390272148234
2,2,16,75,1,2148,9,7,2,647,1090,1737,0.372481289579735,0.627518710420265,-1.04029936672424,3.04029936672424
2,2,16,76,1,825,9,7,2,414,0,414,1,0,9,-7
2,2,16,77,0,961,9,7,2,0,550,550,0,1,-7,9
2,2,16,78,1,531,9,7,2,120,0,120,1,0,9,-7
2,2,16,79,0,788,7,9,-2,52,325,377,0.137931034482759,0.862068965517241,-6.79310344827586,4.79310344827586
2,2,16,80,0,1533,7,9,-2,793,329,1122,0.706773618538324,0.293226381461676,2.30837789661319,-4.30837789661319
2,2,16,81,0,742,9,7,2,0,331,331,0,1,-7,9
2,2,16,82,1,740,9,7,2,329,0,329,1,0,9,-7
2,2,16,83,1,1102,9,7,2,19,672,691,0.0274963820549928,0.972503617945007,-6.56005788712012,8.56005788712012
2,2,16,84,1,2022,9,7,2,960,651,1611,0.595903165735568,0.404096834264432,2.53445065176909,-0.534450651769087
2,2,16,85,0,960,7,9,-2,0,549,549,0,1,-9,7
2,2,16,86,1,1389,9,7,2,657,321,978,0.671779141104294,0.328220858895706,3.74846625766871,-1.74846625766871
2,2,16,87,1,1524,9,7,2,426,687,1113,0.382749326145553,0.617250673854447,-0.876010781671159,2.87601078167116
2,2,16,88,1,795,9,7,2,384,0,384,1,0,9,-7
2,2,16,89,0,773,7,9,-2,0,362,362,0,1,-9,7
2,2,16,90,1,1749,7,9,-2,835,503,1338,0.62406576980568,0.37593423019432,0.985052316890881,-2.98505231689088
2,2,16,91,0,613,9,7,2,0,202,202,0,1,-7,9
2,2,16,92,0,2325,7,9,-2,1319,595,1914,0.689132706374086,0.310867293625914,2.02612330198537,-4.02612330198537
2,2,16,93,1,939,9,7,2,141,387,528,0.267045454545455,0.732954545454545,-2.72727272727273,4.72727272727273
2,2,16,94,1,1957,7,9,-2,1055,491,1546,0.682406209573092,0.317593790426908,1.91849935316947,-3.91849935316947
2,2,16,95,0,1517,7,9,-2,495,611,1106,0.44755877034358,0.55244122965642,-1.83905967450271,-0.160940325497288
2,2,16,96,1,604,9,7,2,193,0,193,1,0,9,-7
2,2,16,97,0,873,7,9,-2,0,462,462,0,1,-9,7
2,2,16,98,1,1107,9,7,2,634,62,696,0.910919540229885,0.0890804597701149,7.57471264367816,-5.57471264367816
2,2,16,99,0,1859,9,7,2,335,1113,1448,0.231353591160221,0.768646408839779,-3.29834254143646,5.29834254143646
2,2,16,100,0,991,7,9,-2,401,179,580,0.691379310344828,0.308620689655172,2.06206896551724,-4.06206896551724
3,2,16,1,1,1230,9,7,2,568,262,830,0.68433734939759,0.31566265060241,3.94939759036145,-1.94939759036145
3,2,16,2,0,869,9,7,2,270,199,469,0.575692963752665,0.424307036247335,2.21108742004264,-0.211087420042644
3,2,16,3,0,2575,9,7,2,931,1244,2175,0.428045977011494,0.571954022988506,-0.151264367816091,2.15126436781609
3,2,16,4,1,1994,7,9,-2,1257,337,1594,0.788582183186951,0.211417816813049,3.61731493099122,-5.61731493099122
3,2,16,5,1,4667,9,7,2,2281,1986,4267,0.53456761190532,0.46543238809468,1.55308179048512,0.446918209514882
3,2,16,6,1,1119,7,9,-2,568,151,719,0.789986091794159,0.210013908205841,3.63977746870654,-5.63977746870654
3,2,16,7,0,982,9,7,2,0,582,582,0,1,-7,9
3,2,16,8,1,592,7,9,-2,192,0,192,1,0,7,-9
3,2,16,9,0,2189,9,7,2,743,1046,1789,0.415315818893236,0.584684181106764,-0.354946897708217,2.35494689770822
3,2,16,10,0,1647,7,9,-2,741,506,1247,0.594226142742582,0.405773857257418,0.507618283881315,-2.50761828388132
3,2,16,11,1,1202,9,7,2,509,293,802,0.634663341645885,0.365336658354115,3.15461346633417,-1.15461346633416
3,2,16,12,1,722,9,7,2,322,0,322,1,0,9,-7
3,2,16,13,0,683,7,9,-2,0,283,283,0,1,-9,7
3,2,16,14,1,886,7,9,-2,486,0,486,1,0,7,-9
3,2,16,15,0,711,7,9,-2,0,311,311,0,1,-9,7
3,2,16,16,1,710,7,9,-2,310,0,310,1,0,7,-9
3,2,16,17,0,1816,7,9,-2,651,765,1416,0.459745762711864,0.540254237288136,-1.64406779661017,-0.35593220338983
3,2,16,18,1,1420,7,9,-2,688,332,1020,0.674509803921569,0.325490196078431,1.7921568627451,-3.7921568627451
3,2,16,19,1,1234,9,7,2,532,302,834,0.637889688249401,0.3621103117506,3.20623501199041,-1.20623501199041
